chainage (m),Q (m3/s),flood levels (masl)
17670.32936329609,9434.299752313504,119.89282220911626
8908.382296852444,14784.761535763737,123.07118937880503
9049.934851416687,9925.76052213009,119.58173119914727
16729.049966552073,14109.300698690447,123.51252861608184
21833.697082469203,8545.444660685456,118.49703814711125
11843.47808730512,7488.833540503836,120.04529680654224
31126.350107671504,11689.912510405216,120.4375804025577
15002.391362184802,14516.772267682141,123.41781400682913
11551.517445616548,11274.715236180637,122.77844200225013
7261.2188271806035,7908.37319106675,117.80008834164855
26545.109228659217,14203.211555022579,121.46934244885016
32678.648131105743,7136.04995114269,114.96841088906126
2798.8722075313003,9064.577086425203,122.0843061045
6223.4474568765945,9587.703718725377,119.79029807670761
27973.286707351075,11340.253672104256,121.53222769232258
9324.795160215916,13568.562970731575,121.9667823800056
10611.72701425161,9667.505794895445,120.98604468714626
6865.038696483877,14229.927050986847,124.25911997887513
22757.644569179076,6430.476434075302,114.75739729831409
15506.57057189806,8233.619639890396,117.20539382557556
4515.618603255152,10410.363368965018,120.81098882792334
2226.795199998849,12047.724626902875,124.66664671057204
2513.159958435542,11291.760868276906,123.8328755297508
2331.383669380235,11328.703640494461,124.8791933214907
22057.893411919224,4675.94696662326,114.42416514194416
17841.136439815546,9742.920583222614,119.14239749361181
29357.732373524443,11835.632842688778,121.34484955374131
16546.15643074427,2755.8456108387254,113.60726972641869
26522.922292255655,10134.799655643688,119.00617745675859
18389.70016499501,10798.167367828726,120.19120716057847
24576.329726342847,9310.232371576989,117.49196364385529
27589.313820073185,16799.39133668352,124.014250383838
16781.477260288666,9008.702898023976,120.43710510827827
3320.992762772565,11430.549125590125,123.60860646879334
27020.3959277478,9044.263112681921,118.52798318508488
8464.519652178107,7423.509098612939,116.30173248605497
20600.129377682235,4983.884230704457,115.29443811384806
16920.564063404607,10077.57087789997,120.82048515947685
1342.995326569873,3951.944966342694,116.38696146180939
889.900187955059,11179.84901430925,122.59526499393309
28609.13866380264,9011.726025141856,119.13173611093579
602.099812584476,8343.44273611647,119.80503717475982
27410.082372892823,11678.952980873219,120.44249403888853
