chainage (m),width (m),thalweg
9770,1890.5,105.834
9780,1897.1,105.86
9790,1904.1,105.886
9800,1910.7,105.912
9810,1917.8,105.938
9820,1925,105.964
9830,1931.6,105.99
9840,1938.8,106.016
9850,1926,106.034
9860,1918,106.05
9870,1909.3,106.067
9880,1901.2,106.084
9890,1892.7,106.101
9900,1884.3,106.117
9910,1876,106.134
9920,1867.2,106.151
9930,1858.6,106.168
9940,1850.9,106.184
9950,1842.5,106.2
9960,1834.4,106.217
9970,1814.3,106.234
9980,1796.1,106.251
9990,1756.6,106.267
10000,1720.6,106.284
10010,1705.9,106.301
10020,1689.6,106.318
10030,1654.6,106.334
10040,1645.1,106.351
10050,1635.5,106.368
10060,1626.2,106.384
10070,1616.6,106.4
10080,1606.9,106.417
10090,1602.4,106.434
10100,1600.5,106.45
10110,1598.8,106.467
10120,1597.3,106.484
10130,1595.6,106.501
10140,1594.2,106.517
10150,1592.9,106.534
10160,1591.7,106.551
10170,1590.7,106.568
10180,1590.2,106.584
10190,1590.7,106.601
10200,1591.4,106.618
10210,1592.5,106.634
10220,1593.6,106.651
10230,1595.3,106.667
10240,1632.5,106.684
10250,1649,106.701
10260,1651.4,106.718
10270,1653.6,106.735
10280,1655.4,106.75
10290,1657.3,106.767
10300,1659,106.784
10310,1659.7,106.801
10320,1660.2,106.818
10330,1660.3,106.835
10340,1660.5,106.851
10350,1661.1,106.867
10360,1692.2,106.884
10370,1712.8,106.901
10380,1723.6,106.918
10390,1726.3,106.934
10400,1728.6,106.951
10410,1750.5,106.967
10420,1754.8,106.984
10430,1757.1,107.001
10440,1759.3,107.018
10450,1761.6,107.034
10460,1762.9,107.051
10470,1762.8,107.067
10480,1762.5,107.084
10490,1762.1,107.101
10500,1761.5,107.118
10510,1761.2,107.135
10520,1760.5,107.151
10530,1759.3,107.168
10540,1756.7,107.184
10550,1754.1,107.201
10560,1751.4,107.217
10570,1748.7,107.234
10580,1746,107.251
10590,1743.3,107.267
10600,1740.5,107.284
10610,1737.7,107.3
10620,1734.9,107.318
10630,1732,107.335
10640,1729.2,107.351
10650,1726.3,107.368
10660,1723.4,107.384
10670,1720.5,107.401
10680,1717.5,107.418
10690,1714.6,107.434
10700,1711.6,107.451
10710,1705.7,107.464
10720,1700.5,107.449
10730,1695.2,107.433
10740,1690,107.417
10750,1686.5,107.402
10760,1683.1,107.386
10770,1679.6,107.37
10780,1676.5,107.354
10790,1673.3,107.338
10800,1670.1,107.322
10810,1667.1,107.307
10820,1664.2,107.292
10830,1661.3,107.276
10840,1663,107.26
10850,1665.5,107.245
10860,1667.9,107.229
10870,1670.1,107.213
10880,1672.1,107.197
10890,1674,107.181
10900,1675.9,107.165
10910,1678.2,107.149
10920,1679.7,107.134
10930,1681.1,107.118
10940,1682.3,107.103
10950,1683.3,107.087
10960,1684.2,107.071
10970,1685,107.056
10980,1685.7,107.04
10990,1686.6,107.024
11000,1687,107.008
11010,1687.2,106.992
11020,1687.4,106.977
11030,1687.3,106.961
11040,1687.2,106.946
11050,1686.9,106.929
